user_id,n_chosen,n_rejected,mean_chosen_length,mean_rejected_length,length_pref_ratio,chosen_length_std,length_score_corr,length_score_p,prefers_longer
user516,32,41,87.0625,103.2439024390244,0.8432701393810536,55.420516000394656,-0.46525355726395917,3.363873857818182e-05,False
user517,21,32,119.95238095238095,100.21875,1.1969055785706861,48.532243764401166,0.08437865554013842,0.5480325398618414,True
user518,21,29,89.38095238095238,82.0,1.0900116144018583,67.60140614941885,0.44891908222063437,0.0010755030654052838,True
user519,18,28,108.77777777777777,77.25,1.4081265731751167,60.431371135230336,0.08471750944048359,0.5756313999638238,True
user52,26,37,114.03846153846153,88.29729729729729,1.2915283369828825,73.05923875091983,0.37194949671752264,0.0026853570403418204,True
user520,13,23,67.0,69.3913043478261,0.9655388471177944,36.70254654757518,0.03561996845891328,0.8366014486459988,False
user521,13,22,92.61538461538461,81.54545454545455,1.135751650801818,34.30079268323438,0.4301844713596068,0.009897221168298782,True
user522,14,25,73.35714285714286,85.96,0.8533869573888189,78.18897176790631,-0.1657532428372047,0.3132395373354367,False
user523,34,39,89.29411764705883,92.38461538461539,0.9665474849390214,73.83109874482778,0.050669866803700295,0.6703082345670878,False
user524,15,24,89.13333333333334,72.95833333333333,1.2217018846373502,45.85174175778083,0.38929134710189756,0.014304655373399979,True
user525,12,22,35.75,45.27272727272727,0.7896586345381525,17.66882848408462,-0.028011636200017523,0.8750432915528967,False
user526,21,31,119.33333333333333,88.41935483870968,1.3496290891402163,55.38293817837621,0.1886335791738467,0.1804897898073554,True
user527,24,34,87.5,87.05882352941177,1.0050675675675675,50.90595904868768,-0.04500862695347771,0.7372601776910316,True
user528,13,23,97.76923076923077,81.3913043478261,1.201224523339908,44.9994082801333,-0.01665487434764507,0.9231956467756423,True
user529,4,7,44.75,51.142857142857146,0.875,1.920286436967152,0.20514213878333137,0.5451065813861805,False
user53,22,33,108.0909090909091,88.0,1.228305785123967,29.741169951477104,0.42430767065664937,0.0012444503243639324,True
user530,13,23,101.92307692307692,65.91304347826087,1.546326364927948,66.92528731981834,0.31182736454101007,0.06411205605590684,True
user531,19,29,103.0,81.44827586206897,1.264606265876376,44.69428316203786,0.20678577891227767,0.15848542653216,True
user532,24,35,102.20833333333333,91.91428571428571,1.1119961662003937,70.90132765956425,0.20496467442150385,0.11940822869779805,True
user533,17,27,120.29411764705883,80.96296296296296,1.4857919380011841,72.88247163262425,0.3752071381563795,0.01208578264400551,True
user534,30,41,153.36666666666667,134.1219512195122,1.1434866945505244,52.653257786727266,0.08669322037539327,0.47221549685176156,True
user535,29,40,73.03448275862068,65.825,1.10952499443404,60.72293366602377,0.09265803381021645,0.44890277065952683,True
user536,23,32,66.56521739130434,103.46875,0.643336441111972,49.60174092926185,-0.40458485441842795,0.0021860424995391575,False
user537,23,35,104.95652173913044,87.51428571428572,1.199307300316541,50.03779290033169,0.12064967802591582,0.3669824752783709,True
user538,13,23,117.84615384615384,79.73913043478261,1.4778961496518748,55.70229404728478,0.3416985734506045,0.04138135784085071,True
user539,17,27,104.29411764705883,96.0,1.0863970588235294,74.86754162470767,-0.024241365177038118,0.8758811048725132,True
user540,19,30,112.3157894736842,86.3,1.301457583704336,54.97085604072776,0.48241257776754837,0.00044770847156412055,True
user541,24,35,162.125,125.62857142857143,1.290510575392313,67.06732469441931,0.2593395240160782,0.04731363773580566,True
user542,27,37,154.7037037037037,120.32432432432432,1.2857226049049948,58.155484321368604,0.30628608283026604,0.01383701285124118,True
user543,24,33,89.5,82.78787878787878,1.0810761346998536,34.49637662132068,0.2473914807942433,0.06354766613530144,True
user544,25,34,132.56,108.79411764705883,1.218448229251149,45.52720505368191,0.24046067064994414,0.06657781184708254,True
user545,24,33,62.416666666666664,71.54545454545455,0.8724057602710715,61.122770352427224,-0.06999345129764382,0.604900084891939,False
user546,24,35,103.0,98.45714285714286,1.0461404526987812,45.38997686714546,0.16867792952791882,0.20156992774522564,True
user547,16,26,87.8125,66.61538461538461,1.3182015011547346,43.77673290402106,0.4150265524400934,0.00627639050189342,True
user548,18,30,107.16666666666667,84.23333333333333,1.2722595963593193,62.45287111983813,0.046274910345033976,0.7547985849259695,True
user549,13,24,138.30769230769232,79.33333333333333,1.7433742727860377,49.5679558638513,0.6005818847484363,8.496289579461914e-05,True
user55,11,17,65.9090909090909,54.88235294117647,1.200915911526844,27.35109951406157,0.21027403005327394,0.28282196899975426,True
user550,18,27,97.16666666666667,96.33333333333333,1.008650519031142,56.27536465156549,-0.1759835370874094,0.24753183817621244,True
user551,22,32,160.13636363636363,104.6875,1.5296607869742198,148.25846456121684,0.3961768333675042,0.003021327740652963,True
user553,24,28,116.66666666666667,123.32142857142857,0.9460372622840043,75.47828974097268,0.06016954536926313,0.6717659178472362,False
user554,14,24,106.85714285714286,97.83333333333333,1.09223655390606,42.664567337809125,0.1639290417187394,0.32538920480593614,True
user555,17,26,96.94117647058823,82.92307692307692,1.169049437957001,22.594821343774626,0.23139155253258312,0.13544501115703875,True
user556,21,28,80.66666666666667,83.5,0.9660678642714572,55.60432779776472,0.5658435734688723,2.2645402849928066e-05,False
user557,17,26,90.41176470588235,68.57692307692308,1.3183992609943584,66.36091942022487,0.4218359475857763,0.00484039903201525,True
user558,26,37,77.96153846153847,70.27027027027027,1.1094526627218935,48.03322629599606,0.07428650179610673,0.5628429631076626,True
user559,16,28,103.75,82.64285714285714,1.2554019014693172,60.963616198516306,0.04914390336058319,0.7514024004809161,True
user560,19,29,84.36842105263158,69.03448275862068,1.2221199852778801,36.21748709106052,0.2799756298889284,0.05393759429705768,True
user561,16,28,93.0625,74.78571428571429,1.2443887297039158,43.04861895287699,0.12213875143318349,0.42963473018091997,True
user562,22,30,81.86363636363636,69.3,1.1812934540207267,49.998450389210205,0.21539646944253374,0.1251399459510968,True
user563,19,30,137.57894736842104,99.96666666666667,1.3762482230919078,42.823156290509935,0.35378154223639163,0.012639428113274495,True
user566,18,30,144.22222222222223,99.06666666666666,1.4558097801704801,54.25101694444237,0.1914163139866298,0.19247129284494283,True
user567,14,22,92.21428571428571,78.45454545454545,1.1753848700546266,51.90813117068127,0.30477999967130626,0.07069721384066757,True
user568,14,23,46.5,77.04347826086956,0.6035553047404063,35.58039187128615,-0.04015402060186141,0.8134643039661544,False
user569,27,35,121.29629629629629,95.97142857142858,1.2638792409557518,66.26815044997375,0.4580650985836484,0.00018135801024250184,True
user57,25,35,76.88,73.91428571428571,1.0401236954000772,55.003505342841564,-0.06990771775741064,0.5955838038948313,True
user570,21,30,55.904761904761905,50.63333333333333,1.1041098467036585,24.09683789155503,0.32688514223283993,0.019217985561926842,True
user571,19,31,102.84210526315789,81.25806451612904,1.2656233676688742,66.99667168315527,0.3896007632314714,0.005163472953445585,True
